SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2161.0,4.0,2157.0,-1.0,-11.0,-14.0,2021-01-19
Benner,1951.0,3.0,1948.0,0.0,2.0,1.0,2021-01-19
Camp Hill,2254.0,7.0,2247.0,-25.0,-136.0,-159.0,2021-01-19
Cambridge Springs,890.0,16.0,874.0,-2.0,-4.0,-9.0,2021-01-19
Chester,1012.0,1.0,1011.0,-1.0,-22.0,-46.0,2021-01-19
Coal Township,2321.0,4.0,2317.0,-3.0,20.0,29.0,2021-01-19
Dallas,1683.0,2.0,1681.0,0.0,-10.0,-20.0,2021-01-19
Frackville,1135.0,3.0,1132.0,0.0,-1.0,-6.0,2021-01-19
Forest,2281.0,3.0,2278.0,-2.0,-10.0,-16.0,2021-01-19
Fayette,2005.0,3.0,2002.0,-4.0,20.0,33.0,2021-01-19
Greene,1810.0,2.0,1808.0,-2.0,45.0,41.0,2021-01-19
Houtzdale,2413.0,2.0,2411.0,-2.0,-1.0,-8.0,2021-01-19
Huntingdon,1835.0,1.0,1834.0,-2.0,-12.0,27.0,2021-01-19
Laurel Highlands,775.0,13.0,762.0,0.0,-9.0,17.0,2021-01-19
Mahanoy,2205.0,4.0,2201.0,-1.0,23.0,10.0,2021-01-19
Mercer,1092.0,3.0,1089.0,13.0,4.0,7.0,2021-01-19
Muncy,1102.0,8.0,1094.0,12.0,6.0,4.0,2021-01-19
Phoenix,2996.0,8.0,2988.0,-3.0,106.0,117.0,2021-01-19
Pine Grove,933.0,3.0,930.0,1.0,21.0,18.0,2021-01-19
Quehanna,255.0,0.0,255.0,0.0,-21.0,-28.0,2021-01-19
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-19
Rockview,1575.0,4.0,1571.0,-1.0,-10.0,-16.0,2021-01-19
Smithfield,626.0,3.0,623.0,11.0,-139.0,-328.0,2021-01-19
Somerset,2155.0,0.0,2155.0,-1.0,6.0,15.0,2021-01-19
Waymart,933.0,7.0,926.0,0.0,-8.0,-17.0,2021-01-19
SCI TOTAL,38398.0,104.0,38294.0,-13.0,-141.0,-348.0,2021-01-19
CCC/F East,444.0,0.0,444.0,9.0,-8.0,32.0,2021-01-19
CCC/F Central,510.0,0.0,510.0,47.0,21.0,26.0,2021-01-19
CCC/F West,433.0,0.0,433.0,11.0,17.0,9.0,2021-01-19
CCC/F TOTAL,1387.0,0.0,1387.0,67.0,30.0,67.0,2021-01-19
