INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2199.0,4.0,2195.0,2.0,-5.0,28.0,2020-11-20
Benner,1956.0,3.0,1953.0,-1.0,2.0,2.0,2020-11-20
Camp Hill,2172.0,7.0,2165.0,42.0,163.0,117.0,2020-11-20
Cambridge Springs,941.0,18.0,923.0,-2.0,-7.0,-29.0,2020-11-20
Chester,1000.0,2.0,998.0,0.0,-12.0,-29.0,2020-11-20
Coal Township,2291.0,4.0,2287.0,14.0,23.0,3.0,2020-11-20
Dallas,1947.0,2.0,1945.0,-2.0,-33.0,-50.0,2020-11-20
Frackville,1130.0,3.0,1127.0,0.0,-11.0,84.0,2020-11-20
Forest,2309.0,3.0,2306.0,-12.0,-21.0,-5.0,2020-11-20
Fayette,1974.0,3.0,1971.0,4.0,9.0,28.0,2020-11-20
Greene,1739.0,2.0,1737.0,15.0,24.0,22.0,2020-11-20
Houtzdale,2412.0,2.0,2410.0,3.0,-13.0,-5.0,2020-11-20
Huntingdon,1688.0,1.0,1687.0,-2.0,-7.0,-18.0,2020-11-20
Laurel Highlands,824.0,13.0,811.0,-2.0,-14.0,-35.0,2020-11-20
Mahanoy,2260.0,5.0,2255.0,0.0,-13.0,-10.0,2020-11-20
Mercer,1176.0,3.0,1173.0,-2.0,-10.0,-35.0,2020-11-20
Muncy,1068.0,10.0,1058.0,7.0,5.0,1.0,2020-11-20
Phoenix,2958.0,9.0,2949.0,-3.0,-8.0,-13.0,2020-11-20
Pine Grove,943.0,3.0,940.0,0.0,-7.0,-47.0,2020-11-20
Quehanna,339.0,0.0,339.0,0.0,-23.0,22.0,2020-11-20
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-20
Rockview,1540.0,4.0,1536.0,-10.0,-24.0,-41.0,2020-11-20
Smithfield,1313.0,4.0,1309.0,-1.0,-5.0,-22.0,2020-11-20
Somerset,2184.0,0.0,2184.0,-2.0,-15.0,-38.0,2020-11-20
Waymart,983.0,7.0,976.0,-1.0,-2.0,-22.0,2020-11-20
SCI TOTAL,39346.0,112.0,39234.0,47.0,-4.0,-92.0,2020-11-20
CCC/F East,618.0,0.0,618.0,-12.0,-37.0,-19.0,2020-11-20
CCC/F Central,805.0,0.0,805.0,9.0,1.0,-23.0,2020-11-20
CCC/F West,776.0,0.0,776.0,3.0,-30.0,-47.0,2020-11-20
CCC/F TOTAL,2199.0,0.0,2199.0,0.0,-66.0,-89.0,2020-11-20
