SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2176.0,4.0,2172.0,2.0,-3.0,1.0,2021-01-07
Benner,1953.0,3.0,1950.0,9.0,12.0,3.0,2021-01-07
Camp Hill,2378.0,7.0,2371.0,-29.0,-43.0,-35.0,2021-01-07
Cambridge Springs,899.0,17.0,882.0,0.0,-11.0,-1.0,2021-01-07
Chester,1043.0,1.0,1042.0,-3.0,-16.0,-15.0,2021-01-07
Coal Township,2306.0,4.0,2302.0,7.0,2.0,14.0,2021-01-07
Dallas,1698.0,2.0,1696.0,0.0,-10.0,-5.0,2021-01-07
Frackville,1135.0,3.0,1132.0,-2.0,-8.0,-6.0,2021-01-07
Forest,2293.0,3.0,2290.0,-2.0,-10.0,-4.0,2021-01-07
Fayette,1975.0,3.0,1972.0,6.0,1.0,3.0,2021-01-07
Greene,1770.0,2.0,1768.0,-1.0,4.0,1.0,2021-01-07
Houtzdale,2417.0,2.0,2415.0,1.0,-7.0,-4.0,2021-01-07
Huntingdon,1826.0,1.0,1825.0,21.0,15.0,18.0,2021-01-07
Laurel Highlands,791.0,13.0,778.0,38.0,26.0,33.0,2021-01-07
Mahanoy,2190.0,4.0,2186.0,-1.0,1.0,-5.0,2021-01-07
Mercer,1090.0,3.0,1087.0,11.0,1.0,5.0,2021-01-07
Muncy,1098.0,8.0,1090.0,1.0,6.0,0.0,2021-01-07
Phoenix,2861.0,8.0,2853.0,-4.0,-23.0,-18.0,2021-01-07
Pine Grove,909.0,3.0,906.0,-2.0,-7.0,-6.0,2021-01-07
Quehanna,283.0,0.0,283.0,0.0,-38.0,0.0,2021-01-07
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-07
Rockview,1583.0,4.0,1579.0,-6.0,-10.0,-8.0,2021-01-07
Smithfield,848.0,3.0,845.0,-102.0,-108.0,-106.0,2021-01-07
Somerset,2147.0,0.0,2147.0,9.0,5.0,7.0,2021-01-07
Waymart,946.0,7.0,939.0,-3.0,-5.0,-4.0,2021-01-07
SCI TOTAL,38615.0,105.0,38510.0,-50.0,-226.0,-132.0,2021-01-07
CCC/F East,437.0,0.0,437.0,5.0,21.0,25.0,2021-01-07
CCC/F Central,481.0,0.0,481.0,2.0,11.0,-3.0,2021-01-07
CCC/F West,407.0,0.0,407.0,-13.0,2.0,-17.0,2021-01-07
CCC/F TOTAL,1325.0,0.0,1325.0,-6.0,34.0,5.0,2021-01-07
