date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-06-05,Albion,2219.0,4.0,2215.0,-1.0,35.0,35.0
2020-06-05,Benner,1995.0,4.0,1991.0,-3.0,-17.0,-17.0
2020-06-05,Camp Hill,2543.0,10.0,2533.0,-11.0,-184.0,-184.0
2020-06-05,Cambridge Springs,1058.0,18.0,1040.0,8.0,-4.0,-1.0
2020-06-05,Chester,924.0,3.0,921.0,6.0,-8.0,-8.0
2020-06-05,Coal Township,2045.0,4.0,2041.0,0.0,4.0,6.0
2020-06-05,Dallas,2136.0,3.0,2133.0,0.0,8.0,8.0
2020-06-05,Frackville,1197.0,4.0,1193.0,12.0,19.0,19.0
2020-06-05,Forest,2350.0,7.0,2343.0,0.0,26.0,26.0
2020-06-05,Fayette,1907.0,4.0,1903.0,10.0,25.0,25.0
2020-06-05,Greene,1752.0,4.0,1748.0,-1.0,21.0,21.0
2020-06-05,Houtzdale,2409.0,4.0,2405.0,-2.0,-16.0,-15.0
2020-06-05,Huntingdon,1884.0,1.0,1883.0,0.0,-3.0,-3.0
2020-06-05,Laurel Highlands,1284.0,18.0,1266.0,-3.0,-18.0,-17.0
2020-06-05,Mahanoy,2306.0,7.0,2299.0,12.0,46.0,47.0
2020-06-05,Mercer,1298.0,3.0,1295.0,0.0,-11.0,-8.0
2020-06-05,Muncy,1218.0,11.0,1207.0,-12.0,-20.0,-20.0
2020-06-05,Phoenix,2910.0,9.0,2901.0,-6.0,-31.0,-29.0
2020-06-05,Pine Grove,1021.0,4.0,1017.0,16.0,14.0,15.0
2020-06-05,Quehanna,357.0,0.0,357.0,0.0,-45.0,-45.0
2020-06-05,Retreat,524.0,0.0,524.0,-30.0,-62.0,-62.0
2020-06-05,Rockview,2026.0,8.0,2018.0,-2.0,-8.0,-7.0
2020-06-05,Smithfield,1273.0,5.0,1268.0,-2.0,13.0,13.0
2020-06-05,Somerset,2287.0,0.0,2287.0,0.0,3.0,4.0
2020-06-05,Waymart,1220.0,11.0,1209.0,-4.0,-15.0,-14.0
2020-06-05,SCI TOTAL,42143.0,146.0,41997.0,-13.0,-228.0,-211.0
2020-06-05,CCC/F East,974.0,0.0,974.0,-16.0,-21.0,-21.0
2020-06-05,CCC/F Central,1117.0,0.0,1117.0,7.0,-8.0,-8.0
2020-06-05,CCC/F West,702.0,0.0,702.0,14.0,-21.0,-21.0
2020-06-05,CCC/F TOTAL,2793.0,0.0,2793.0,5.0,-50.0,-50.0
