date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-07-10,Albion,2184.0,4.0,2180.0,-7.0,-8.0,-18.0
2020-07-10,Benner,2047.0,3.0,2044.0,-8.0,-9.0,0.0
2020-07-10,Camp Hill,1939.0,9.0,1930.0,-70.0,-117.0,-163.0
2020-07-10,Cambridge Springs,1043.0,19.0,1024.0,0.0,7.0,0.0
2020-07-10,Chester,985.0,3.0,982.0,4.0,-2.0,43.0
2020-07-10,Coal Township,2139.0,4.0,2135.0,7.0,10.0,21.0
2020-07-10,Dallas,2099.0,3.0,2096.0,-1.0,-2.0,-42.0
2020-07-10,Frackville,1205.0,4.0,1201.0,-5.0,-13.0,-15.0
2020-07-10,Forest,2395.0,8.0,2387.0,0.0,-5.0,4.0
2020-07-10,Fayette,2017.0,4.0,2013.0,11.0,7.0,4.0
2020-07-10,Greene,1752.0,3.0,1749.0,3.0,1.0,10.0
2020-07-10,Houtzdale,2450.0,3.0,2447.0,0.0,1.0,-2.0
2020-07-10,Huntingdon,1863.0,1.0,1862.0,-4.0,-6.0,-9.0
2020-07-10,Laurel Highlands,1226.0,18.0,1208.0,0.0,-5.0,-8.0
2020-07-10,Mahanoy,2334.0,5.0,2329.0,-6.0,-8.0,-22.0
2020-07-10,Mercer,1376.0,3.0,1373.0,23.0,16.0,28.0
2020-07-10,Muncy,1121.0,11.0,1110.0,0.0,-11.0,-11.0
2020-07-10,Phoenix,2851.0,9.0,2842.0,-6.0,-17.0,-30.0
2020-07-10,Pine Grove,1070.0,4.0,1066.0,20.0,16.0,32.0
2020-07-10,Quehanna,478.0,0.0,478.0,-2.0,18.0,29.0
2020-07-10,Retreat,0.0,0.0,0.0,0.0,0.0,-10.0
2020-07-10,Rockview,1976.0,8.0,1968.0,-3.0,-5.0,-9.0
2020-07-10,Smithfield,1403.0,5.0,1398.0,-1.0,30.0,40.0
2020-07-10,Somerset,2302.0,0.0,2302.0,-1.0,-5.0,-3.0
2020-07-10,Waymart,1162.0,11.0,1151.0,-3.0,-7.0,-21.0
2020-07-10,SCI TOTAL,41417.0,142.0,41275.0,-49.0,-114.0,-152.0
2020-07-10,CCC/F East,864.0,0.0,864.0,0.0,-17.0,-24.0
2020-07-10,CCC/F Central,934.0,0.0,934.0,0.0,-18.0,-28.0
2020-07-10,CCC/F West,620.0,0.0,620.0,0.0,-3.0,-19.0
2020-07-10,CCC/F TOTAL,2418.0,0.0,2418.0,0.0,-38.0,-71.0
