date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-06-08,Albion,2219.0,4.0,2215.0,0.0,35.0,35.0
2020-06-08,Benner,1994.0,4.0,1990.0,-1.0,-18.0,-18.0
2020-06-08,Camp Hill,2486.0,10.0,2476.0,-57.0,-241.0,-241.0
2020-06-08,Cambridge Springs,1054.0,18.0,1036.0,-4.0,-8.0,-5.0
2020-06-08,Chester,915.0,3.0,912.0,-9.0,-17.0,-17.0
2020-06-08,Coal Township,2070.0,4.0,2066.0,25.0,29.0,31.0
2020-06-08,Dallas,2161.0,3.0,2158.0,25.0,33.0,33.0
2020-06-08,Frackville,1194.0,4.0,1190.0,-3.0,16.0,16.0
2020-06-08,Forest,2349.0,7.0,2342.0,-1.0,25.0,25.0
2020-06-08,Fayette,1908.0,4.0,1904.0,1.0,26.0,26.0
2020-06-08,Greene,1754.0,4.0,1750.0,2.0,23.0,23.0
2020-06-08,Houtzdale,2408.0,4.0,2404.0,-1.0,-17.0,-16.0
2020-06-08,Huntingdon,1884.0,1.0,1883.0,0.0,-3.0,-3.0
2020-06-08,Laurel Highlands,1284.0,18.0,1266.0,0.0,-18.0,-17.0
2020-06-08,Mahanoy,2304.0,7.0,2297.0,-2.0,44.0,45.0
2020-06-08,Mercer,1294.0,3.0,1291.0,-4.0,-15.0,-12.0
2020-06-08,Muncy,1202.0,11.0,1191.0,-16.0,-36.0,-36.0
2020-06-08,Phoenix,2906.0,9.0,2897.0,-4.0,-35.0,-33.0
2020-06-08,Pine Grove,1019.0,4.0,1015.0,-2.0,12.0,13.0
2020-06-08,Quehanna,392.0,0.0,392.0,35.0,-10.0,-10.0
2020-06-08,Retreat,514.0,0.0,514.0,-10.0,-72.0,-72.0
2020-06-08,Rockview,2021.0,8.0,2013.0,-5.0,-13.0,-12.0
2020-06-08,Smithfield,1273.0,5.0,1268.0,0.0,13.0,13.0
2020-06-08,Somerset,2284.0,0.0,2284.0,-3.0,0.0,1.0
2020-06-08,Waymart,1216.0,11.0,1205.0,-4.0,-19.0,-18.0
2020-06-08,SCI TOTAL,42105.0,146.0,41959.0,-38.0,-266.0,-249.0
2020-06-08,CCC/F East,975.0,0.0,975.0,1.0,-20.0,-20.0
2020-06-08,CCC/F Central,1114.0,0.0,1114.0,-3.0,-11.0,-11.0
2020-06-08,CCC/F West,694.0,0.0,694.0,-8.0,-29.0,-29.0
2020-06-08,CCC/F TOTAL,2783.0,0.0,2783.0,-10.0,-60.0,-60.0
