INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2209.0,4.0,2205.0,-2.0,3.0,2.0,2020-10-11
Benner,1983.0,3.0,1980.0,-2.0,-7.0,-8.0,2020-10-11
Camp Hill,2207.0,7.0,2200.0,-3.0,-20.0,-31.0,2020-10-11
Cambridge Springs,964.0,18.0,946.0,-4.0,-10.0,-18.0,2020-10-11
Chester,960.0,2.0,958.0,0.0,0.0,-10.0,2020-10-11
Coal Township,2197.0,4.0,2193.0,12.0,-2.0,10.0,2020-10-11
Dallas,2101.0,2.0,2099.0,-4.0,-13.0,-9.0,2020-10-11
Frackville,1033.0,3.0,1030.0,0.0,-4.0,-5.0,2020-10-11
Forest,2338.0,5.0,2333.0,-1.0,-7.0,-9.0,2020-10-11
Fayette,1952.0,3.0,1949.0,-2.0,-9.0,-25.0,2020-10-11
Greene,1690.0,3.0,1687.0,5.0,23.0,19.0,2020-10-11
Houtzdale,2433.0,2.0,2431.0,1.0,-1.0,-6.0,2020-10-11
Huntingdon,1813.0,1.0,1812.0,0.0,48.0,74.0,2020-10-11
Laurel Highlands,879.0,13.0,866.0,0.0,-12.0,-19.0,2020-10-11
Mahanoy,2301.0,5.0,2296.0,0.0,-10.0,-10.0,2020-10-11
Mercer,1250.0,3.0,1247.0,0.0,-13.0,-22.0,2020-10-11
Muncy,1089.0,11.0,1078.0,9.0,12.0,21.0,2020-10-11
Phoenix,2787.0,9.0,2778.0,-9.0,9.0,-34.0,2020-10-11
Pine Grove,1012.0,3.0,1009.0,-2.0,-6.0,-12.0,2020-10-11
Quehanna,353.0,0.0,353.0,0.0,-66.0,-63.0,2020-10-11
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-11
Rockview,1611.0,5.0,1606.0,-1.0,-15.0,-28.0,2020-10-11
Smithfield,1364.0,4.0,1360.0,-3.0,-10.0,-13.0,2020-10-11
Somerset,2248.0,0.0,2248.0,-3.0,-16.0,-11.0,2020-10-11
Waymart,1035.0,8.0,1027.0,0.0,-9.0,-10.0,2020-10-11
SCI TOTAL,39809.0,118.0,39691.0,-9.0,-135.0,-217.0,2020-10-11
CCC/F East,620.0,0.0,620.0,19.0,8.0,8.0,2020-10-11
CCC/F Central,861.0,0.0,861.0,15.0,-19.0,-19.0,2020-10-11
CCC/F West,810.0,0.0,810.0,29.0,72.0,72.0,2020-10-11
CCC/F TOTAL,2291.0,0.0,2291.0,63.0,61.0,61.0,2020-10-11
