SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2157.0,4.0,2153.0,-3.0,1.0,16.0,2021-02-19
Benner,1952.0,3.0,1949.0,0.0,-1.0,-1.0,2021-02-19
Camp Hill,2096.0,7.0,2089.0,0.0,68.0,-65.0,2021-02-19
Cambridge Springs,875.0,16.0,859.0,0.0,-7.0,-7.0,2021-02-19
Chester,963.0,1.0,962.0,0.0,6.0,-8.0,2021-02-19
Coal Township,2152.0,4.0,2148.0,-6.0,-20.0,-65.0,2021-02-19
Dallas,1616.0,2.0,1614.0,0.0,-6.0,-37.0,2021-02-19
Frackville,1107.0,3.0,1104.0,0.0,0.0,-6.0,2021-02-19
Forest,2231.0,3.0,2228.0,4.0,-6.0,-20.0,2021-02-19
Fayette,1973.0,3.0,1970.0,-2.0,-9.0,-9.0,2021-02-19
Greene,1749.0,2.0,1747.0,-13.0,4.0,-10.0,2021-02-19
Houtzdale,2370.0,2.0,2368.0,-1.0,-14.0,-26.0,2021-02-19
Huntingdon,1817.0,1.0,1816.0,0.0,-4.0,-17.0,2021-02-19
Laurel Highlands,800.0,13.0,787.0,0.0,-1.0,-21.0,2021-02-19
Mahanoy,2179.0,4.0,2175.0,0.0,-14.0,-7.0,2021-02-19
Mercer,1054.0,3.0,1051.0,-5.0,-19.0,-28.0,2021-02-19
Muncy,1074.0,8.0,1066.0,3.0,6.0,-24.0,2021-02-19
Phoenix,2965.0,8.0,2957.0,-3.0,-22.0,-6.0,2021-02-19
Pine Grove,915.0,3.0,912.0,0.0,-5.0,-7.0,2021-02-19
Quehanna,277.0,0.0,277.0,-1.0,25.0,-10.0,2021-02-19
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-19
Rockview,1534.0,4.0,1530.0,0.0,2.0,-11.0,2021-02-19
Smithfield,1107.0,3.0,1104.0,11.0,-94.0,76.0,2021-02-19
Somerset,2136.0,0.0,2136.0,0.0,-3.0,-4.0,2021-02-19
Waymart,884.0,7.0,877.0,0.0,-2.0,-27.0,2021-02-19
SCI TOTAL,37983.0,104.0,37879.0,-16.0,-115.0,-324.0,2021-02-19
CCC/F East,480.0,0.0,480.0,10.0,13.0,18.0,2021-02-19
CCC/F Central,596.0,0.0,596.0,13.0,7.0,52.0,2021-02-19
CCC/F West,480.0,0.0,480.0,12.0,7.0,28.0,2021-02-19
CCC/F TOTAL,1556.0,0.0,1556.0,35.0,27.0,98.0,2021-02-19
