SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2146.0,4.0,2142.0,24.0,21.0,18.0,2021-04-07
Benner,1954.0,3.0,1951.0,3.0,-1.0,-2.0,2021-04-07
Camp Hill,2046.0,7.0,2039.0,-28.0,11.0,31.0,2021-04-07
Cambridge Springs,891.0,15.0,876.0,-2.0,11.0,6.0,2021-04-07
Chester,1007.0,1.0,1006.0,-9.0,-5.0,-8.0,2021-04-07
Coal Township,2014.0,4.0,2010.0,-22.0,-35.0,-37.0,2021-04-07
Dallas,1533.0,2.0,1531.0,-7.0,-10.0,-14.0,2021-04-07
Frackville,1099.0,3.0,1096.0,4.0,2.0,1.0,2021-04-07
Forest,2257.0,3.0,2254.0,-2.0,1.0,-5.0,2021-04-07
Fayette,1958.0,2.0,1956.0,12.0,10.0,14.0,2021-04-07
Greene,1683.0,2.0,1681.0,-3.0,2.0,-4.0,2021-04-07
Houtzdale,2360.0,2.0,2358.0,-2.0,9.0,1.0,2021-04-07
Huntingdon,1741.0,1.0,1740.0,0.0,-4.0,-10.0,2021-04-07
Laurel Highlands,765.0,12.0,753.0,0.0,0.0,-2.0,2021-04-07
Mahanoy,2220.0,4.0,2216.0,12.0,12.0,14.0,2021-04-07
Mercer,1043.0,3.0,1040.0,-1.0,-3.0,-7.0,2021-04-07
Muncy,1061.0,8.0,1053.0,6.0,-2.0,-4.0,2021-04-07
Phoenix,3041.0,8.0,3033.0,19.0,28.0,22.0,2021-04-07
Pine Grove,935.0,3.0,932.0,8.0,5.0,10.0,2021-04-07
Quehanna,250.0,0.0,250.0,-4.0,-10.0,-28.0,2021-04-07
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-04-07
Rockview,1472.0,3.0,1469.0,-4.0,-10.0,-15.0,2021-04-07
Smithfield,1048.0,3.0,1045.0,13.0,-26.0,-4.0,2021-04-07
Somerset,2172.0,0.0,2172.0,6.0,4.0,3.0,2021-04-07
Waymart,835.0,7.0,828.0,-2.0,-5.0,-6.0,2021-04-07
SCI TOTAL,37531.0,100.0,37431.0,21.0,5.0,-26.0,2021-04-07
CCC/F East,535.0,0.0,535.0,3.0,-7.0,15.0,2021-04-07
CCC/F Central,636.0,0.0,636.0,-4.0,-6.0,14.0,2021-04-07
CCC/F West,536.0,0.0,536.0,1.0,-1.0,9.0,2021-04-07
CCC/F TOTAL,1707.0,0.0,1707.0,0.0,-14.0,38.0,2021-04-07
