date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-06-27,Albion,2204.0,4.0,2200.0,0.0,0.0,20.0
2020-06-27,Benner,2048.0,3.0,2045.0,0.0,0.0,37.0
2020-06-27,Camp Hill,2121.0,10.0,2111.0,0.0,-2.0,-606.0
2020-06-27,Cambridge Springs,1048.0,19.0,1029.0,0.0,0.0,-12.0
2020-06-27,Chester,906.0,3.0,903.0,0.0,0.0,-26.0
2020-06-27,Coal Township,2107.0,4.0,2103.0,-3.0,-3.0,68.0
2020-06-27,Dallas,2142.0,3.0,2139.0,-1.0,-1.0,14.0
2020-06-27,Frackville,1221.0,4.0,1217.0,-2.0,-4.0,43.0
2020-06-27,Forest,2393.0,8.0,2385.0,0.0,0.0,68.0
2020-06-27,Fayette,2013.0,4.0,2009.0,0.0,-1.0,131.0
2020-06-27,Greene,1739.0,4.0,1735.0,0.0,-1.0,8.0
2020-06-27,Houtzdale,2454.0,4.0,2450.0,0.0,-3.0,30.0
2020-06-27,Huntingdon,1872.0,1.0,1871.0,-1.0,-3.0,-15.0
2020-06-27,Laurel Highlands,1237.0,18.0,1219.0,0.0,-2.0,-64.0
2020-06-27,Mahanoy,2363.0,5.0,2358.0,0.0,0.0,106.0
2020-06-27,Mercer,1352.0,3.0,1349.0,0.0,-2.0,46.0
2020-06-27,Muncy,1131.0,11.0,1120.0,0.0,0.0,-107.0
2020-06-27,Phoenix,2884.0,9.0,2875.0,-1.0,-5.0,-55.0
2020-06-27,Pine Grove,1039.0,4.0,1035.0,0.0,-1.0,33.0
2020-06-27,Quehanna,443.0,0.0,443.0,0.0,0.0,41.0
2020-06-27,Retreat,12.0,0.0,12.0,0.0,0.0,-574.0
2020-06-27,Rockview,1988.0,8.0,1980.0,0.0,-1.0,-45.0
2020-06-27,Smithfield,1362.0,5.0,1357.0,-2.0,0.0,102.0
2020-06-27,Somerset,2305.0,0.0,2305.0,0.0,-1.0,22.0
2020-06-27,Waymart,1187.0,11.0,1176.0,0.0,0.0,-47.0
2020-06-27,SCI TOTAL,41571.0,145.0,41426.0,-10.0,-30.0,-782.0
2020-06-27,CCC/F East,907.0,0.0,907.0,0.0,0.0,-88.0
2020-06-27,CCC/F Central,977.0,0.0,977.0,0.0,0.0,-148.0
2020-06-27,CCC/F West,639.0,0.0,639.0,0.0,0.0,-84.0
2020-06-27,CCC/F TOTAL,2523.0,0.0,2523.0,0.0,0.0,-320.0
