SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2172.0,4.0,2168.0,-1.0,-20.0,-36.0,2020-12-21
Benner,1982.0,3.0,1979.0,0.0,28.0,23.0,2020-12-21
Camp Hill,2323.0,7.0,2316.0,-1.0,157.0,240.0,2020-12-21
Cambridge Springs,928.0,17.0,911.0,-5.0,-10.0,-15.0,2020-12-21
Chester,1006.0,1.0,1005.0,-2.0,47.0,18.0,2020-12-21
Coal Township,2341.0,4.0,2337.0,0.0,23.0,75.0,2020-12-21
Dallas,1723.0,2.0,1721.0,0.0,-197.0,-213.0,2020-12-21
Frackville,1134.0,3.0,1131.0,0.0,-3.0,-11.0,2020-12-21
Forest,2299.0,3.0,2296.0,0.0,-7.0,-10.0,2020-12-21
Fayette,1962.0,3.0,1959.0,-1.0,-18.0,-7.0,2020-12-21
Greene,1760.0,2.0,1758.0,-1.0,7.0,13.0,2020-12-21
Houtzdale,2440.0,2.0,2438.0,-1.0,-3.0,12.0,2020-12-21
Huntingdon,1736.0,1.0,1735.0,1.0,37.0,54.0,2020-12-21
Laurel Highlands,779.0,13.0,766.0,0.0,-4.0,-26.0,2020-12-21
Mahanoy,2219.0,4.0,2215.0,-1.0,-5.0,-28.0,2020-12-21
Mercer,1111.0,3.0,1108.0,-6.0,-13.0,-44.0,2020-12-21
Muncy,1090.0,9.0,1081.0,-2.0,9.0,25.0,2020-12-21
Phoenix,2917.0,8.0,2909.0,39.0,-40.0,-78.0,2020-12-21
Pine Grove,886.0,3.0,883.0,-1.0,-16.0,-45.0,2020-12-21
Quehanna,327.0,0.0,327.0,0.0,-14.0,-13.0,2020-12-21
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-21
Rockview,1572.0,4.0,1568.0,36.0,51.0,38.0,2020-12-21
Smithfield,1254.0,4.0,1250.0,-25.0,-37.0,-51.0,2020-12-21
Somerset,2142.0,0.0,2142.0,0.0,-18.0,-33.0,2020-12-21
Waymart,959.0,7.0,952.0,0.0,-5.0,-15.0,2020-12-21
SCI TOTAL,39062.0,107.0,38955.0,29.0,-51.0,-127.0,2020-12-21
CCC/F East,422.0,0.0,422.0,5.0,-11.0,-146.0,2020-12-21
CCC/F Central,467.0,0.0,467.0,6.0,3.0,-285.0,2020-12-21
CCC/F West,433.0,0.0,433.0,-2.0,-4.0,-295.0,2020-12-21
CCC/F TOTAL,1322.0,0.0,1322.0,9.0,-12.0,-726.0,2020-12-21
